GCA_000006965.1_ASM696v1,Sinorhizobium_meliloti_Rm1021
GCA_000017145.1_ASM1714v1,Sinorhizobium_medicae_WSM419
GCA_000018545.1_ASM1854v1,Sinorhizobium_fredii_NGR234
GCA_000583045.1_ASM58304v1,Ensifer_adhaerens_OV14
GCA_000009265.1_ASM926v1,Rhizobium_leguminosarum_bv_viciae_3841
GCA_000092045.1_ASM9204v1,Rhizobium_etli_CFN_42
GCA_000092025.1_ASM9202v1,Agrobacterium_fabrum_C58
GCA_001543305.1_ASM154330v1,Liberibacter_crescens_BT-0
GCA_000009625.1_ASM962v1,Mesorhizobium_loti_MAFF303099
GCA_000740195.1_ASM74019v1,Brucella_abortus_C68
GCA_000011365.1_ASM1136v1,Bradyrhizobium_diazoefficiens_USDA_110
